고유번호,업소명,대분류,중분류,개업일,상태
237,젤존노래타운,경기도,성남시,20180620,영업/정상
238,립크럽,부산,동구,20180619,영업/정상
239,로즈,인천,미추홀구,20180619,영업/정상
240,극장식 라이브 마마앤 파파,인천,서구,20180619,영업/정상
241,유림노래방,경남,양산시,20180619,영업/정상
242,조스타7080라이브,경기도,평택시,20180619,영업/정상
243,신황제,울산,동구,20180615,영업/정상
244,뮤직타운,경기도,양주시,20180615,영업/정상
245,신준코,경기도,양주시,20180615,영업/정상
246,해적노래타운,경기도,안양시,20180614,영업/정상
247,스페이스룸,제주,제주시,20180612,영업/정상
248,라카이 유흥주점,강원도,강릉시,20180612,영업/정상
249,코미디언 이정표 라이브클럽,경기도,성남시,20180612,영업/정상
250,풍금소리,전남,장성군,20180611,영업/정상
251,그루비뮤직타운,제주,제주시,20180611,영업/정상
252,좋은노래빠,경기도,평택시,20180611,영업/정상
253,엔젤클럽,경기도,안성시,20180607,영업/정상
254,목화물 나이트,부산,연제구,20180607,영업/정상
255,홍도노래타운,울산,울주군,20180607,영업/정상
256,반추노래클럽,충남,천안시,20180607,영업/정상
257,그랜드,제주,서귀포시,20180605,영업/정상
258,아이스타클럽,강원도,강릉시,20180605,영업/정상
259,대동라이브,강원도,강릉시,20180605,영업/정상
260,머니머니가요방,경북,예천군,20180605,영업/정상
261,클럽이태원,경북,구미시,20180605,영업/정상
262,요술궁 미인관,부산,연제구,20180604,영업/정상
263,방울새 노래짱,경기도,하남시,20180604,영업/정상
264,전국노래자랑,제주,제주시,20180601,영업/정상
265,술마시는 북창동 노래홀,광주광역시,서구,20180531,영업/정상
266,응답하라노래주점,경남,김해시,20180531,영업/정상
267,스타일,충남,천안시,20180530,영업/정상
268,오아시스,충남,천안시,20180530,영업/정상
269,필노래장,경기도,양주시,20180529,영업/정상
270,누나야,전남,여수시,20180529,영업/정상
271,스타킹노래타운,울산,울주군,20180528,영업/정상
272,슈퍼맨,서울,동대문구,20180524,영업/정상
273,탤런트코너주점,경남,김해시,20180524,영업/정상
274,여보야,인천,미추홀구,20180523,영업/정상
275,귀빈궁,충북,청주시,20180523,영업/정상
276,욜노래짱,경기도,김포시,20180518,영업/정상
277,붐,충북,청주시,20180518,영업/정상
278,노네임,경기도,평택시,20180518,영업/정상
279,모이자세븐스타라이브,인천,남동구,20180517,영업/정상
280,비너스노래클럽,충남,당진시,20180517,영업/정상
281,3 플러스,전남,여수시,20180517,영업/정상
282,란가요방,제주,서귀포시,20180516,영업/정상
283,팡팡노래빵,경기도,성남시,20180516,영업/정상
284,글램,서울,서초구,20180515,영업/정상
285,유튜브클럽,경기도,가평군,20180514,영업/정상
286,밀크노래타운,경기도,수원시,20180514,영업/정상
287,포텐,인천,남동구,20180511,영업/정상
288,위너스,충남,당진시,20180511,영업/정상
289,오라노래방,경남,양산시,20180511,영업/정상
290,김나경7080,경기도,동두천시,20180510,영업/정상
291,콩밭,경기도,수원시,20180510,영업/정상
292,레드,부산,해운대구,20180509,영업/정상
293,제이제이(JJ)쥬얼리,인천,연수구,20180509,영업/정상
294,청춘라이브,강원도,원주시,20180509,영업/정상
295,놀아봐음악홀,광주광역시,광산구,20180508,영업/정상
296,엔츠뮤직타운(광안리점),부산,수영구,20180504,영업/정상
297,더킹(The King),부산,연제구,20180503,영업/정상
298,제니스 룸 소주방,광주광역시,동구,20180503,영업/정상
299,미주,경남,의령군,20180503,영업/정상
300,스타노래주점,서울,도봉구,20180503,영업/정상
301,마호가니,서울,서초구,20180502,영업/정상
302,부비부비,광주광역시,동구,20180502,영업/정상
303,퀸,부산,중구,20180430,영업/정상
304,딸기노래타운,서울,관악구,20180430,영업/정상
305,오렌지룸가요장,경기도,구리시,20180430,영업/정상
306,비타민,경기도,구리시,20180430,영업/정상
307,추카추카,경북,안동시,20180427,영업/정상
308,친구노래방,부산,부산진구,20180426,영업/정상
309,술마시는조은노래밤,서울,은평구,20180426,영업/정상
310,정노래클럽,인천,연수구,20180425,영업/정상
311,구디구디노래짱,인천,미추홀구,20180425,영업/정상
312,VIP노래홀,광주광역시,북구,20180425,영업/정상
313,골든노래주점,경남,창원시,20180425,영업/정상
314,설탕노래클럽,경기도,김포시,20180424,영업/정상
315,자전거노래클럽,경기도,김포시,20180424,영업/정상
316,잠자리노래광장주점,인천,남동구,20180424,영업/정상
317,편의점노래타운,울산,중구,20180424,영업/정상
318,피노이 비스트로 클럽,경기도,시흥시,20180420,영업/정상
319,소판돈음악홀,전북,남원시,20180419,영업/정상
320,세븐노래홀,광주광역시,북구,20180418,영업/정상
321,귀빈,경기도,김포시,20180417,영업/정상
322,더네임노래타운,제주,서귀포시,20180416,영업/정상
323,행복노래타운,전북,익산시,20180416,영업/정상
324,클럽엠,경북,안동시,20180416,영업/정상
325,링코노래타운광명점,경기도,광명시,20180413,영업/정상
326,썸 노래주점,부산,연제구,20180413,영업/정상
327,오션노래타운,전남,여수시,20180413,영업/정상
328,큐노래짱,경기도,성남시,20180411,영업/정상
329,상상,경기도,화성시,20180410,영업/정상
330,5C5유흥주점,대구,달성군,20180410,영업/정상
331,돼지노래타운,전남,여수시,20180410,영업/정상
332,딸기노래빠,경기도,안양시,20180409,영업/정상
333,와노래광장,경기도,화성시,20180405,영업/정상
334,별노래광장,경기도,화성시,20180405,영업/정상
335,하이원,전북,무주군,20180405,영업/정상
336,현가요광장,경기도,시흥시,20180404,영업/정상
337,비노래주점,부산,부산진구,20180404,영업/정상
338,미라클노래홀,전남,해남군,20180404,영업/정상
339,보배포장센타,부산,사상구,20180403,영업/정상
340,샤우팅,경남,창원시,20180403,영업/정상
341,연지가요빵,경북,문경시,20180403,영업/정상
342,판도라 룸소주방,전남,여수시,20180402,영업/정상
343,팥쥐노래,경기도,화성시,20180330,영업/정상
344,백두산나이트클럽,인천,미추홀구,20180328,영업/정상
345,빙고노래클럽,경기도,부천시,20180328,영업/정상
346,비지니스,충남,아산시,20180328,영업/정상
347,레드,강원도,양구군,20180328,영업/정상
348,천일야화,경기도,하남시,20180328,영업/정상
349,유라이브,경기도,안양시,20180327,영업/정상
350,티티노래타운,전남,여수시,20180327,영업/정상
351,미라클노래방,울산,울주군,20180326,영업/정상
352,오로라노래바,경기도,김포시,20180323,영업/정상
353,존대루,충북,음성군,20180323,영업/정상
354,M가요주점,전북,무주군,20180322,영업/정상
355,스타킹,경기도,안양시,20180321,영업/정상
356,술먹는노래빠,경기도,양평군,20180321,영업/정상
357,개부국제클럽,제주,서귀포시,20180321,영업/정상
358,물노래방,울산,울주군,20180321,영업/정상
359,너굴,경기도,파주시,20180321,영업/정상
360,락휴스마트노래타운 광안비치점,부산,수영구,20180320,영업/정상
361,미니클럽,강원도,평창군,20180320,영업/정상
362,우림가요궁,강원도,평창군,20180320,영업/정상
363,풀코스노래타운,경북,영주시,20180320,영업/정상
364,썸 노래클럽,서울,강서구,20180319,영업/정상
365,소풍노래타운,서울,강서구,20180319,영업/정상
366,별밤노래밤,인천,미추홀구,20180316,영업/정상
367,알지가요방,강원도,원주시,20180316,영업/정상
368,어우동가요방,경남,사천시,20180316,영업/정상
369,호수노래빠,경기도,화성시,20180314,영업/정상
370,노블레스노래클럽,충남,아산시,20180314,영업/정상
371,오블리제노래클럽,충남,아산시,20180313,영업/정상
372,나고야 회 노래타운,서울,은평구,20180313,영업/정상
373,블루가요주점,경북,상주시,20180313,영업/정상
374,마녀주점,부산,서구,20180312,영업/정상
375,유흥파로스,경기도,안산시,20180309,영업/정상
376,청담동노래주점,경남,창원시,20180309,영업/정상
377,신사동노래주점,경남,창원시,20180309,영업/정상
378,오퍼스,부산,해운대구,20180308,영업/정상
379,짱노래주점,부산,부산진구,20180308,영업/정상
380,다원보물섬노래팡,서울,은평구,20180308,영업/정상
381,MC가라오케,경남,창원시,20180308,영업/정상
382,홍콩가요장,경기도,구리시,20180308,영업/정상
383,쌍쌍노래빠,경기도,김포시,20180305,영업/정상
384,쇼쇼쇼방앗간,경기도,이천시,20180305,영업/정상
385,아우라노래클럽,충남,아산시,20180302,영업/정상
386,뉴술파는노래빵,강원도,춘천시,20180302,영업/정상
387,황금노래바,서울,구로구,20180228,영업/정상
388,망고노래클럽,인천,부평구,20180228,영업/정상
389,보스,울산,울주군,20180228,영업/정상
390,나이트마켓,강원도,강릉시,20180228,영업/정상
391,거북이,경기도,용인시,20180227,영업/정상
392,환상라이브,경남,양산시,20180223,영업/정상
393,요미소주호프노래타운,경기도,성남시,20180223,영업/정상
394,링코노래타운 중동1호점,경기도,부천시,20180222,영업/정상
395,명품노래장,대전광역시,중구,20180222,영업/정상
396,포시즌노래클럽,충남,아산시,20180222,영업/정상
397,준코뮤직타운-포항두호점,경북,포항시,20180221,영업/정상
