발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지시도,발생지시군구
2012,2012042318,야간,월,1,1,충남,당진시
2012,2012043018,야간,월,1,1,경기,안성시
2012,2012050118,야간,화,1,1,경기,안양시
2012,2012042909,주간,일,1,1,충남,아산시
2012,2012050313,주간,목,1,1,충남,천안시
2012,2012050301,야간,목,1,1,경기,시흥시
2012,2012050822,야간,화,1,1,서울,성동구
2012,2012050921,야간,수,1,1,경남,밀양시
2012,2012050510,주간,토,1,1,전남,순천시
2012,2012051106,주간,금,1,1,경기,의왕시
2012,2012051023,야간,목,1,2,충북,청원군
2012,2012051514,주간,화,1,1,경기,양주시
2012,2012052113,주간,월,1,3,경남,산청군
2012,2012052114,주간,월,1,1,강원,원주시
2012,2012051818,야간,금,1,1,전남,나주시
2012,2012052420,야간,목,1,1,강원,홍천군
2012,2012052805,야간,월,1,1,광주,북구
2012,2012060204,야간,토,1,1,인천,서구
2012,2012060120,야간,금,1,1,전남,고흥군
2012,2012060519,야간,화,1,5,부산,사하구
2012,2012060413,주간,월,1,1,경남,창녕군
2012,2012061108,주간,월,1,1,부산,영도구
2012,2012060806,주간,금,1,3,경남,밀양시
2012,2012042607,주간,목,1,1,충북,충주시
2012,2012042610,주간,목,1,1,충북,진천군
2012,2012042603,야간,목,1,1,충남,천안시
2012,2012050109,주간,화,1,1,경남,창원시(통합)
2012,2012050120,야간,화,1,2,경북,고령군
2012,2012042911,주간,일,1,1,경남,하동군
2012,2012042818,야간,토,1,6,전남,무안군
2012,2012050401,야간,금,1,1,서울,서대문구
2012,2012050316,주간,목,1,1,경기,남양주시
2012,2012050302,야간,목,1,1,광주,동구
2012,2012050808,주간,화,4,8,강원,홍천군
