발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지
2016,2016031903,야간,토,1,1,인천 남동구
2016,2016032205,야간,화,1,1,전남 보성군
2016,2016032206,주간,화,1,1,경북 포항시
2016,2016032506,주간,금,1,1,경기 용인시
2016,2016040622,야간,수,1,1,경남 창원시(통합)
2016,2016040812,주간,금,1,1,경북 예천군
2016,2016031106,주간,금,1,1,대구 달성군
2016,2016031905,야간,토,1,1,부산 동래구
2016,2016032001,야간,일,1,2,전남 장성군
2016,2016032409,주간,목,1,1,울산 울주군
2016,2016032819,야간,월,1,2,충남 홍성군
2016,2016032623,야간,토,1,1,전남 영암군
2016,2016032820,야간,월,1,2,경남 김해시
2016,2016032612,주간,토,1,1,경기 화성시
2016,2016032605,야간,토,1,1,전남 영암군
2016,2016040719,야간,목,1,1,경기 성남시
2016,2016040623,야간,수,1,1,서울 영등포구
2016,2016040810,주간,금,1,1,충남 태안군
2016,2016040401,야간,월,1,1,경기 안산시
2016,2016070713,주간,목,1,1,경북 포항시
2016,2016070801,야간,금,1,1,전북 전주시
2016,2016071707,주간,일,1,1,전북 완주군
2016,2016071419,야간,목,1,3,강원 인제군
2016,2016071508,주간,금,1,3,충남 서천군
2016,2016060911,주간,목,1,1,경북 구미시
2016,2016060617,주간,월,1,3,울산 북구
2016,2016061110,주간,토,2,4,경기 화성시
2016,2016061000,야간,금,1,3,인천 동구
2016,2016061009,주간,금,1,2,경기 안성시
2016,2016062100,야간,화,1,1,경기 광주시
2016,2016061810,주간,토,1,1,전남 해남군
2016,2016062320,야간,목,1,3,강원 평창군
2016,2016062322,야간,목,1,5,대전 중구
2016,2016062116,주간,화,1,1,강원 횡성군
2016,2016062023,야간,월,1,1,경남 창원시(통합)
2016,2016062122,야간,화,1,1,강원 원주시
2016,2016062213,주간,수,1,1,광주 남구
2016,2016062702,야간,월,2,2,경기 화성시
2016,2016062516,주간,토,1,1,울산 울주군
2016,2016062603,야간,일,1,1,울산 북구
2016,2016070117,주간,금,1,1,경기 안산시
2016,2016070116,주간,금,1,2,경남 하동군
2016,2016070201,야간,토,1,1,경기 시흥시
2016,2016063018,야간,목,1,1,충남 논산시
2016,2016070512,주간,화,1,1,경기 남양주시
2016,2016070520,야간,화,1,1,경남 함안군
2016,2016070215,주간,토,1,2,전북 군산시
2016,2016070216,주간,토,1,3,충북 괴산군
2016,2016070723,야간,목,1,1,경기 파주시
2016,2016070618,야간,수,1,1,부산 해운대구
2016,2016071508,주간,금,1,1,전남 신안군
2016,2016062411,주간,금,1,3,부산 사하구
2016,2016071513,주간,금,1,2,경기 평택시
2016,2016071320,야간,수,1,1,경기 광주시
2016,2016071410,주간,목,1,4,전북 익산시
2016,2016060910,주간,목,1,1,전남 완도군
2016,2016060505,야간,일,1,1,충남 서산시
2016,2016060420,야간,토,1,1,전북 정읍시
2016,2016061210,주간,일,1,1,충남 태안군
2016,2016061022,야간,금,3,5,인천 서구
2016,2016073005,야간,토,1,1,경남 김해시
2016,2016080305,야간,수,1,4,경기 용인시
