범죄대분류,범죄중분류,도시,발생수,발생년도
풍속범죄,도박범죄,전북 전주,236,2016
특별경제범죄,특별경제범죄,전북 전주,420,2016
마약범죄,마약범죄,전북 전주,44,2016
보건범죄,보건범죄,전북 전주,155,2016
환경범죄,환경범죄,전북 전주,5,2016
교통범죄,교통범죄,전북 전주,"5,580",2016
노동범죄,노동범죄,전북 전주,20,2016
안보범죄,안보범죄,전북 전주,0,2016
선거범죄,선거범죄,전북 전주,22,2016
병역범죄,병역범죄,전북 전주,161,2016
기타범죄,기타범죄,전북 전주,"2,871",2016
강력범죄,살인기수,충북 청주,1,2016
강력범죄,살인미수등,충북 청주,6,2016
강력범죄,강도,충북 청주,17,2016
강력범죄,강간,충북 청주,85,2016
강력범죄,유사강간,충북 청주,13,2016
강력범죄,강제추행,충북 청주,222,2016
강력범죄,기타 강간  강제추행등,충북 청주,3,2016
강력범죄,방화,충북 청주,23,2016
절도범죄,절도범죄,충북 청주,"3,711",2016
폭력범죄,상해,충북 청주,835,2016
폭력범죄,폭행,충북 청주,"3,068",2016
폭력범죄,체포  감금,충북 청주,23,2016
폭력범죄,협박,충북 청주,289,2016
폭력범죄,약취  유인,충북 청주,0,2016
폭력범죄,폭력행위등,충북 청주,188,2016
폭력범죄,공갈,충북 청주,43,2016
폭력범죄,손괴,충북 청주,"1,104",2016
지능범죄,직무유기,충북 청주,8,2016
지능범죄,직권남용,충북 청주,4,2016
지능범죄,증수뢰,충북 청주,6,2016
지능범죄,통화,충북 청주,16,2016
지능범죄,문서  인장,충북 청주,229,2016
지능범죄,유가증권인지,충북 청주,1,2016
지능범죄,사기,충북 청주,"3,335",2016
지능범죄,횡령,충북 청주,555,2016
지능범죄,배임,충북 청주,37,2016
풍속범죄,성풍속범죄,충북 청주,151,2016
풍속범죄,도박범죄,충북 청주,246,2016
특별경제범죄,특별경제범죄,충북 청주,682,2016
마약범죄,마약범죄,충북 청주,151,2016
보건범죄,보건범죄,충북 청주,121,2016
환경범죄,환경범죄,충북 청주,8,2016
교통범죄,교통범죄,충북 청주,"10,373",2016
노동범죄,노동범죄,충북 청주,19,2016
안보범죄,안보범죄,충북 청주,1,2016
선거범죄,선거범죄,충북 청주,6,2016
병역범죄,병역범죄,충북 청주,315,2016
기타범죄,기타범죄,충북 청주,"3,713",2016
강력범죄,살인기수,경남 창원,3,2016
강력범죄,살인미수등,경남 창원,15,2016
강력범죄,강도,경남 창원,26,2016
강력범죄,강간,경남 창원,68,2016
강력범죄,유사강간,경남 창원,7,2016
강력범죄,강제추행,경남 창원,202,2016
강력범죄,기타 강간  강제추행등,경남 창원,7,2016
강력범죄,방화,경남 창원,29,2016
절도범죄,절도범죄,경남 창원,"3,760",2016
폭력범죄,상해,경남 창원,"1,243",2016
폭력범죄,폭행,경남 창원,"2,736",2016
폭력범죄,체포  감금,경남 창원,16,2016
폭력범죄,협박,경남 창원,208,2016
폭력범죄,약취  유인,경남 창원,1,2016
폭력범죄,폭력행위등,경남 창원,272,2016
폭력범죄,공갈,경남 창원,60,2016
폭력범죄,손괴,경남 창원,"1,079",2016
지능범죄,직무유기,경남 창원,12,2016
지능범죄,직권남용,경남 창원,3,2016
지능범죄,증수뢰,경남 창원,5,2016
지능범죄,통화,경남 창원,13,2016
지능범죄,문서  인장,경남 창원,237,2016
지능범죄,유가증권인지,경남 창원,1,2016
지능범죄,사기,경남 창원,"5,568",2016
지능범죄,횡령,경남 창원,765,2016
지능범죄,배임,경남 창원,78,2016
풍속범죄,성풍속범죄,경남 창원,188,2016
풍속범죄,도박범죄,경남 창원,309,2016
특별경제범죄,특별경제범죄,경남 창원,997,2016
마약범죄,마약범죄,경남 창원,164,2016
보건범죄,보건범죄,경남 창원,261,2016
환경범죄,환경범죄,경남 창원,69,2016
교통범죄,교통범죄,경남 창원,"12,594",2016
노동범죄,노동범죄,경남 창원,78,2016
안보범죄,안보범죄,경남 창원,4,2016
선거범죄,선거범죄,경남 창원,23,2016
병역범죄,병역범죄,경남 창원,292,2016
기타범죄,기타범죄,경남 창원,"4,535",2016
강력범죄,살인기수,제주,4,2016
강력범죄,살인미수등,제주,12,2016
강력범죄,강도,제주,25,2016
강력범죄,강간,제주,84,2016
강력범죄,유사강간,제주,16,2016
강력범죄,강제추행,제주,318,2016
강력범죄,기타 강간  강제추행등,제주,8,2016
강력범죄,방화,제주,26,2016
절도범죄,절도범죄,제주,"3,500",2016
폭력범죄,상해,제주,982,2016
폭력범죄,폭행,제주,"3,112",2016
폭력범죄,체포  감금,제주,18,2016
폭력범죄,협박,제주,360,2016
폭력범죄,약취  유인,제주,4,2016
폭력범죄,폭력행위등,제주,211,2016
폭력범죄,공갈,제주,59,2016
폭력범죄,손괴,제주,1357,2016
지능범죄,직무유기,제주,1,2016
지능범죄,직권남용,제주,5,2016
지능범죄,증수뢰,제주,4,2016
지능범죄,통화,제주,16,2016
