발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지시도,발생지시군구
2014,2014030706,주간,금,1,1,서울,마포구
2014,2014030519,야간,수,1,1,대구,달성군
2014,2014030501,야간,수,1,2,광주,광산구
2014,2014030323,야간,월,1,1,대구,동구
2014,2014030402,야간,화,1,3,경기,시흥시
2014,2014031419,야간,금,1,1,대구,달성군
2014,2014031603,야간,일,1,1,경기,화성시
2014,2014031509,주간,토,1,1,전남,순천시
2014,2014022020,야간,목,1,1,인천,남구
2014,2014021719,야간,월,1,1,대구,수성구
2014,2014021718,야간,월,1,2,전남,순천시
2014,2014022006,주간,목,1,1,경북,포항시
2014,2014021806,주간,화,1,1,경기,파주시
2014,2014022709,주간,목,1,10,경북,경주시
2014,2014022711,주간,목,1,1,경기,화성시
2014,2014030201,야간,일,1,1,경기,평택시
2014,2014030102,야간,토,1,1,서울,강서구
2014,2014030200,야간,일,1,1,울산,남구
2014,2014030305,야간,월,1,1,충북,보은군
2014,2014030221,야간,일,1,1,강원,홍천군
2014,2014030216,주간,일,1,2,경기,평택시
2014,2014030217,주간,일,1,1,충남,태안군
2014,2014030120,야간,토,1,1,전남,광양시
2014,2014030818,야간,토,1,2,전남,장성군
2014,2014031421,야간,금,1,1,경북,경주시
2014,2014031621,야간,일,1,1,경기,수원시
2014,2014031021,야간,월,1,1,경북,의성군
2014,2014031415,주간,금,1,1,부산,영도구
2014,2014031301,야간,목,1,3,대구,달성군
2014,2014031314,주간,목,1,1,경기,고양시
2014,2014021805,야간,화,3,3,전남,여수시
2014,2014021701,야간,월,1,1,서울,중구
2014,2014022801,야간,금,1,1,경북,청송군
2014,2014022804,야간,금,1,1,대전,유성구
2014,2014022714,주간,목,1,1,경남,창원시(통합)
2014,2014022723,야간,목,1,3,충북,청주시
2014,2014022611,주간,수,1,1,전남,목포시
2014,2014030118,야간,토,1,4,경북,안동시
2014,2014030409,주간,화,1,1,경기,시흥시
2014,2014030314,주간,월,1,1,전남,고흥군
2014,2014030214,주간,일,1,3,울산,중구
