행정구역별,연도별,연령별,총인구,총인구_남자,총인구_여자,내국인_남자,내국인_여자,총인구_외국인,외국인_남자,외국인_여자,외국인비율
경기 동두천,2017,60~64세,6187,3085,3102,3008,3036,143,77,66,0.0231
경기 동두천,2017,65~69세,4549,2090,2459,2058,2429,62,32,30,0.0136
경기 동두천,2017,70~74세,4183,1790,2393,1781,2377,25,9,16,0.006
경기 동두천,2017,75~79세,4118,1638,2480,1628,2471,19,10,9,0.0046
경기 동두천,2017,80~84세,2405,888,1517,887,1511,7,1,6,0.0029
경기 동두천,2017,85세이상,1616,463,1153,461,1151,4,2,2,0.0025
경기 동두천,2017,85~89세,1098,338,760,336,759,3,2,1,0.0027
경기 동두천,2017,90~94세,392,91,301,91,300,1,0,1,0.0026
경기 동두천,2017,95~99세,106,30,76,30,76,0,0,0,0
경기 동두천,2017,100세이상,20,0,16,0,16,0,0,0,0
경기 동두천,2017,15세미만,12579,6410,6169,6291,6098,190,119,71,0.0151
경기 동두천,2017,15~64세,67923,35387,32536,33359,31002,3562,2028,1534,0.0524
경기 동두천,2017,65세이상,16871,6869,10002,6815,9939,117,54,63,0.0069
경기 동두천,2017,평균연령,43,41.7,44.3,41.9,44.6,-0.5,-0.2,-0.3,-0.0116
경기 동두천,2017,중위연령,44.3,43.2,45.4,43.7,45.9,-1,-0.5,-0.5,-0.0226
경기 안산,2017,합계,733661,379670,353991,339550,324348,69763,40120,29643,0.0951
경기 안산,2017,0~4세,27502,13944,13558,12938,12491,2073,1006,1067,0.0754
경기 안산,2017,5~9세,30261,15463,14798,14835,14229,1197,628,569,0.0396
경기 안산,2017,10~14세,32620,16744,15876,16429,15532,659,315,344,0.0202
경기 안산,2017,15~19세,46219,24054,22165,23692,21811,716,362,354,0.0155
경기 안산,2017,20~24세,57979,30745,27234,28819,26021,3139,1926,1213,0.0541
경기 안산,2017,25~29세,58295,32382,25913,26679,22729,8887,5703,3184,0.1524
경기 안산,2017,30~34세,52917,29624,23293,23251,19412,10254,6373,3881,0.1938
경기 안산,2017,35~39세,58621,31694,26927,26512,23750,8359,5182,3177,0.1426
경기 안산,2017,40~44세,61901,32376,29525,28196,26829,6876,4180,2696,0.1111
경기 안산,2017,45~49세,76042,38042,38000,33552,34584,7906,4490,3416,0.104
경기 안산,2017,50~54세,70267,36466,33801,32583,30472,7212,3883,3329,0.1026
경기 안산,2017,55~59세,61491,32876,28615,30205,26095,5191,2671,2520,0.0844
경기 안산,2017,60~64세,36600,19074,17526,16883,15358,4359,2191,2168,0.1191
경기 안산,2017,65~69세,21205,10524,10681,9670,9707,1828,854,974,0.0862
경기 안산,2017,70~74세,14870,6627,8243,6423,7885,562,204,358,0.0378
경기 안산,2017,75~79세,12785,4965,7820,4861,7576,348,104,244,0.0272
경기 안산,2017,80~84세,8485,2730,5755,2692,5650,143,38,105,0.0169
경기 안산,2017,85세이상,5601,1340,4261,1330,4217,54,10,44,0.0096
경기 안산,2017,85~89세,3863,1021,2842,1013,2803,47,8,39,0.0122
경기 안산,2017,90~94세,1397,266,1131,264,1127,6,2,4,0.0043
경기 안산,2017,95~99세,289,49,240,49,239,1,0,1,0.0035
경기 안산,2017,100세이상,52,0,48,0,48,0,0,0,0
경기 안산,2017,15세미만,90383,46151,44232,44202,42252,3929,1949,1980,0.0435
경기 안산,2017,15~64세,580332,307333,272999,270372,247061,62899,36961,25938,0.1084
경기 안산,2017,65세이상,62946,26186,36760,24976,35035,2935,1210,1725,0.0466
경기 안산,2017,평균연령,39.2,38.5,40,38.3,39.9,0.3,0.2,0.1,0.0077
경기 안산,2017,중위연령,40.2,39.2,41.4,39.3,41.3,7.11E-15,-0.1,0.1,0
경기 고양,2017,합계,1005102,492804,512298,484232,504348,16522,8572,7950,0.0164
경기 고양,2017,0~4세,40446,20718,19728,20567,19594,285,151,134,0.007
경기 고양,2017,5~9세,47103,24218,22885,24153,22787,163,65,98,0.0035
경기 고양,2017,10~14세,49066,25264,23802,25231,23762,73,33,40,0.0015
경기 고양,2017,15~19세,60371,30901,29470,30821,29387,163,80,83,0.0027
경기 고양,2017,20~24세,66547,35032,31515,34278,30977,1292,754,538,0.0194
경기 고양,2017,25~29세,66394,33029,33365,31689,32338,2367,1340,1027,0.0357
경기 고양,2017,30~34세,62041,30669,31372,29287,30311,2443,1382,1061,0.0394
경기 고양,2017,35~39세,76077,36831,39246,35762,38400,1915,1069,846,0.0252
