범죄대분류,범죄중분류,도시,발생수,발생년도
강력범죄 ,유사강간,충북 청주,1,2013
강력범죄 ,강제추행,충북 청주,202,2013
강력범죄 ,기타 강간 강제추행등,충북 청주,23,2013
강력범죄 ,방화,충북 청주,13,2013
절도범죄,절도,충북 청주,4737,2013
폭력범죄 ,상해,충북 청주,723,2013
폭력범죄 ,폭행,충북 청주,1973,2013
폭력범죄 ,체포 감금,충북 청주,13,2013
폭력범죄 ,협박,충북 청주,51,2013
폭력범죄 ,약취 유인,충북 청주,0,2013
폭력범죄 ,폭력행위등,충북 청주,608,2013
폭력범죄 ,공갈,충북 청주,51,2013
폭력범죄 ,손괴,충북 청주,1069,2013
지능범죄 ,직무유기,충북 청주,6,2013
지능범죄 ,직권남용,충북 청주,0,2013
지능범죄 ,증수뢰,충북 청주,4,2013
지능범죄 ,통화,충북 청주,32,2013
지능범죄 ,문서 인장,충북 청주,197,2013
지능범죄 ,유가증권인지,충북 청주,5,2013
지능범죄 ,사기,충북 청주,2438,2013
지능범죄 ,횡령,충북 청주,218,2013
지능범죄 ,배임,충북 청주,36,2013
풍속범죄 ,성풍속범죄,충북 청주,193,2013
풍속범죄 ,도박범죄,충북 청주,104,2013
특별경제범죄 ,특별경제범죄 ,충북 청주,601,2013
마약범죄,마약범죄,충북 청주,24,2013
보건범죄,보건범죄,충북 청주,103,2013
환경범죄,환경범죄,충북 청주,7,2013
교통범죄,교통범죄,충북 청주,6503,2013
노동범죄,노동범죄,충북 청주,31,2013
안보범죄,안보범죄,충북 청주,2,2013
선거범죄,선거범죄,충북 청주,2,2013
병역범죄,병역범죄,충북 청주,395,2013
기타범죄,기타범죄,충북 청주,1713,2013
강력범죄 ,살인기수,경북 포항,2,2013
강력범죄 ,살인미수등,경북 포항,6,2013
강력범죄 ,강도,경북 포항,9,2013
강력범죄 ,강간,경북 포항,42,2013
강력범죄 ,유사강간,경북 포항,2,2013
강력범죄 ,강제추행,경북 포항,91,2013
강력범죄 ,기타 강간 강제추행등,경북 포항,7,2013
강력범죄 ,방화,경북 포항,21,2013
절도범죄,절도,경북 포항,2575,2013
폭력범죄 ,상해,경북 포항,710,2013
폭력범죄 ,폭행,경북 포항,842,2013
폭력범죄 ,체포 감금,경북 포항,11,2013
폭력범죄 ,협박,경북 포항,30,2013
폭력범죄 ,약취 유인,경북 포항,2,2013
폭력범죄 ,폭력행위등,경북 포항,423,2013
폭력범죄 ,공갈,경북 포항,36,2013
폭력범죄 ,손괴,경북 포항,568,2013
지능범죄 ,직무유기,경북 포항,3,2013
지능범죄 ,직권남용,경북 포항,3,2013
지능범죄 ,증수뢰,경북 포항,2,2013
지능범죄 ,통화,경북 포항,22,2013
지능범죄 ,문서 인장,경북 포항,99,2013
지능범죄 ,유가증권인지,경북 포항,1,2013
지능범죄 ,사기,경북 포항,3278,2013
지능범죄 ,횡령,경북 포항,228,2013
지능범죄 ,배임,경북 포항,34,2013
풍속범죄 ,성풍속범죄,경북 포항,194,2013
풍속범죄 ,도박범죄,경북 포항,106,2013
특별경제범죄 ,특별경제범죄 ,경북 포항,623,2013
마약범죄,마약범죄,경북 포항,14,2013
보건범죄,보건범죄,경북 포항,114,2013
환경범죄,환경범죄,경북 포항,77,2013
교통범죄,교통범죄,경북 포항,8932,2013
노동범죄,노동범죄,경북 포항,1,2013
안보범죄,안보범죄,경북 포항,0,2013
선거범죄,선거범죄,경북 포항,8,2013
병역범죄,병역범죄,경북 포항,235,2013
기타범죄,기타범죄,경북 포항,2713,2013
강력범죄 ,살인기수,경기 광명,1,2013
강력범죄 ,살인미수등,경기 광명,1,2013
강력범죄 ,강도,경기 광명,5,2013
강력범죄 ,강간,경기 광명,21,2013
강력범죄 ,유사강간,경기 광명,0,2013
강력범죄 ,강제추행,경기 광명,71,2013
강력범죄 ,기타 강간 강제추행등,경기 광명,7,2013
강력범죄 ,방화,경기 광명,6,2013
절도범죄,절도,경기 광명,1569,2013
폭력범죄 ,상해,경기 광명,253,2013
폭력범죄 ,폭행,경기 광명,1040,2013
폭력범죄 ,체포 감금,경기 광명,7,2013
폭력범죄 ,협박,경기 광명,30,2013
폭력범죄 ,약취 유인,경기 광명,1,2013
폭력범죄 ,폭력행위등,경기 광명,225,2013
폭력범죄 ,공갈,경기 광명,24,2013
폭력범죄 ,손괴,경기 광명,414,2013
지능범죄 ,직무유기,경기 광명,0,2013
지능범죄 ,직권남용,경기 광명,2,2013
지능범죄 ,증수뢰,경기 광명,0,2013
지능범죄 ,통화,경기 광명,46,2013
지능범죄 ,문서 인장,경기 광명,101,2013
지능범죄 ,유가증권인지,경기 광명,4,2013
지능범죄 ,사기,경기 광명,1344,2013
지능범죄 ,횡령,경기 광명,159,2013
지능범죄 ,배임,경기 광명,10,2013
풍속범죄 ,성풍속범죄,경기 광명,129,2013
풍속범죄 ,도박범죄,경기 광명,51,2013
특별경제범죄 ,특별경제범죄 ,경기 광명,681,2013
마약범죄,마약범죄,경기 광명,16,2013
보건범죄,보건범죄,경기 광명,85,2013
환경범죄,환경범죄,경기 광명,6,2013
교통범죄,교통범죄,경기 광명,1917,2013
노동범죄,노동범죄,경기 광명,2,2013
안보범죄,안보범죄,경기 광명,0,2013
선거범죄,선거범죄,경기 광명,0,2013
병역범죄,병역범죄,경기 광명,117,2013
기타범죄,기타범죄,경기 광명,773,2013
강력범죄 ,살인기수,경남 창원,13,2013
강력범죄 ,살인미수등,경남 창원,11,2013
강력범죄 ,강도,경남 창원,49,2013
강력범죄 ,강간,경남 창원,120,2013
강력범죄 ,유사강간,경남 창원,1,2013
강력범죄 ,강제추행,경남 창원,198,2013
강력범죄 ,기타 강간 강제추행등,경남 창원,45,2013
강력범죄 ,방화,경남 창원,39,2013
절도범죄,절도,경남 창원,7179,2013
폭력범죄 ,상해,경남 창원,1413,2013
폭력범죄 ,폭행,경남 창원,2286,2013
폭력범죄 ,체포 감금,경남 창원,14,2013
폭력범죄 ,협박,경남 창원,82,2013
폭력범죄 ,약취 유인,경남 창원,2,2013
폭력범죄 ,폭력행위등,경남 창원,824,2013
폭력범죄 ,공갈,경남 창원,89,2013
폭력범죄 ,손괴,경남 창원,1245,2013
지능범죄 ,직무유기,경남 창원,15,2013
지능범죄 ,직권남용,경남 창원,6,2013
지능범죄 ,증수뢰,경남 창원,4,2013
지능범죄 ,통화,경남 창원,15,2013
지능범죄 ,문서 인장,경남 창원,281,2013
지능범죄 ,유가증권인지,경남 창원,9,2013
지능범죄 ,사기,경남 창원,5455,2013
지능범죄 ,횡령,경남 창원,600,2013
지능범죄 ,배임,경남 창원,63,2013
풍속범죄 ,성풍속범죄,경남 창원,260,2013
풍속범죄 ,도박범죄,경남 창원,205,2013
특별경제범죄 ,특별경제범죄 ,경남 창원,1139,2013
마약범죄,마약범죄,경남 창원,132,2013
보건범죄,보건범죄,경남 창원,322,2013
환경범죄,환경범죄,경남 창원,39,2013
교통범죄,교통범죄,경남 창원,11165,2013
